;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1010;69.999;Chevrolet;Onix;1.4 Flex Activ 8v Manual - 27.000km;27.000;2019;SP;Butantã - São Paulo Zona Oeste;Vazio
1011;86.890;Toyota;Corolla;Corolla Xei 2.0 Flex 16v Aut.;140.000;2016;SP;São Paulo Zona Leste;Vazio
1012;57.900;Nissan;Versa;Versa Sv 1.6 Flex 2018 Automatico !!!;103.316;2018;SP;Vila Graciosa - São Paulo Zona Leste;Vazio
1013;55.900;Chevrolet;Onix;Onix Hatch Lt 1.0 8v Flexpower 5p Mec.;56.000;2019;SP;Lapa - São Paulo Zona Oeste;Vazio
1014;75.999;Fiat;Doblo;1.8 Mpi Essence Flex Manual - 7 Lugares;48.000;2020;SP;Butantã - São Paulo Zona Oeste;Vazio
1015;61.990;Chevrolet;Cruze;Cruze 1.8 Lt 16v Flex 4p Automatico 2016;135.000;2016;SP;Campinas;Vazio
1016;68.700;Chevrolet;Cobalt;Cobalt Elite 1.8 8v (aut) (flex);65.500;2018;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
1017;59.900;Volkswagen;Saveiro;Saveiro Robust 1.6 Total Flex 8v;114.000;2019;SP;Jardim Maringá - São Paulo Zona Leste;Vazio
1018;88.900;Toyota;Corolla;2.0 16v Xei Flex Multi-drive S 4p;89.900;2016;SP;São Paulo Zona Leste;Vazio
1019;64.790;Mitsubishi;Lancer;Lancer 2.0 Hle 16v Gasolina 4p Automatico 2016;130.998;2016;SP;Campinas;Vazio
1020;72.900;Honda;City;City 1.5 Dx 16v Flex 4p Manual;55.000;2019;SP;São Paulo Zona Oeste;Vazio
1021;62.899;Renault;Duster;2.0 Dynamique Flex Automática - Multimidia;78.000;2016;SP;Butantã - São Paulo Zona Oeste;Vazio
1022;88.900;Audi;A4;1.8 Tfsi Attraction Gasolina 4p Multitronic;114.000;2015;SP;Padroeira - Osasco;Vazio
1023;59.900;Volkswagen;Saveiro;Saveiro Robust 1.6 Total Flex 8v;100.000;2019;SP;Jardim Maringá - São Paulo Zona Leste;Vazio
1024;56.900;Fiat;Strada;Strada Working 1.4 Mpi Fire Flex 8v Cs;94.965;2015;SP;Quitaúna - Osasco;Vazio
1025;67.899;Chevrolet;Cruze;1.8 Lt Ecotec 6 Aut. 4p;149.799;2015;SP;Aricanduva - São Paulo Zona Leste;Vazio
